City,Type
Chennai,tropical
Kolkata,tropical
Mumbai,tropical
Jaipur,dry
Delhi,dry
Bengaluru,cool
Hyderabad,hot
Mohali,dry
Visakhapatnam,tropical
Pune,cool
Indore,dry
Rajkot,hot
Bangalore,cool
Chandigarh,dry
Kanpur,dry
Raipur,dry
Ahmedabad,hot
Ranchi,dry
Abu Dhabi,tropical
Sharjah,hot
Cuttack,tropical
Dharamsala,cool
Kochi,tropical
Nagpur,hot
Cape Town,tropical
Port Elizabeth,cool
Durban,dry
Centurion,cool
East London,cool
Johannesburg,cool
Kimberley,cool
Bloemfontein,dry
Dubai,dry