Season,Team,AVERAGE of player_strength
2019,CSK,170.1009572
2019,Delhi,152.6711172
2019,Hyderabad,147.9666146
2019,Kolkata,139.5467155
2019,Mumbai,147.7952283
2019,Punjab,132.8966023
2019,Rajasthan,142.0176075
2019,RCB,143.4781895
2018,CSK,147.1139466
2018,Delhi,133.8607702
2018,Hyderabad,152.9484613
2018,Kolkata,140.5936761
2018,Mumbai,149.2333003
2018,Punjab,143.6492931
2018,Rajasthan,141.9995115
2018,RCB,139.5346513
2017,Delhi,141.955038
2017,Gujarat,140.457096
2017,Hyderabad,143.5838222
2017,Kolkata,152.6025144
2017,Mumbai,169.5735456
2017,Pune,154.4454648
2017,Punjab,146.8642075
2017,RCB,142.353209
2016,Delhi,153.8492572
2016,Gujarat,153.3279351
2016,Hyderabad,154.9434201
2016,Kolkata,141.1981016
2016,Mumbai,189.7447708
2016,Pune,150.395735
2016,Punjab,141.1981016
2016,RCB,149.8309681
2015,CSK,172.1015577
2015,Delhi,160.2937437
2015,Hyderabad,154.8083141
2015,Kolkata,149.3275993
2015,Mumbai,141.730452
2015,Punjab,135.268863
2015,Rajasthan,140.2405794
2015,RCB,148.0450696